MorIPlist(1.5),MorUlist(5.3),MorIPlist(0.5),MorUlist(1.9),MorPlist(21.7),MorZVlist(23.1),MorIPlist(13.4),MorIPlist(10.7),MorUlist(3.2),MorIPlist(2.8),MorIPlist(16.5),MorVlist(18.6),MorZVlist(3.6),MorElist(6.6),MorVlist(9.3),MorElist(7.7),MorPlist(3.2),MorElist(14.9),MorVlist(22.2),MorElist(4.0)
50.13,-32.076,7536.379,-216.293,0.012,-123.719,61.257,-90.121,30.932,287.265,-76.761,7.782,-905.376,54.783,8.143,29.424,-6.735,13.924,-7.118,-118.755
175.625,-36.157,6811.539,-149.234,-2.859,-144.412,58.511,-92.659,72.373,8.972,-50.008,14.917,-608.658,48.06,4.153,29.367,-0.733,-10.489,-1.859,-121.725
-263.681,-13.03,10122.203,-248.944,-1.516,-111.3,34.316,-108.283,98.992,187.221,-41.569,2.398,-1214.778,75.227,1.562,24.269,13.962,6.251,-2.862,-152.804
-106.983,26.338,7004.464,-218.5,-9.148,-14.518,40.53,-44.955,31.942,8.881,-61.411,17.399,-884.872,46.289,5.999,-1.827,-18.648,14.381,-2.748,-142.44
222.641,-18.189,4311.958,-34.842,0.941,-195.069,-8.95,1.49,-27.252,-94.012,-9.156,12.733,-771.966,30.204,-19.348,6.708,-47.2,18.725,-2.492,-103.309
-411.359,100.506,10380.974,-186.553,-7.909,-15.549,73.817,-93.368,133.896,88.242,-66.774,5.715,-701.989,-35.786,26.579,120.695,20.626,19.319,-14.561,-178.914
8.835,-10.899,7025.244,-88.359,-14.524,88.132,54.331,-73.007,23.149,25.653,-58.69,30.362,-1124.057,53.156,7.19,25.323,-14.653,20.834,-12.772,-119.179
-270.127,-22.15,8406.213,-263.16,-1.423,-171.921,28.214,-58.013,74.607,119.338,-56.604,10.1,-848.055,46.569,8.934,34.804,1.136,7.27,-0.224,-150.384
-259.286,-32.217,8318.128,-269.579,-1.009,-98.47,18.198,-59.962,63.855,245.064,-61.346,10.05,-885.822,46.369,9.572,38.69,-4.595,16.012,-4.406,-141.375
96.518,7.777,4972.148,-71.516,-20.849,226.156,39.435,-74.87,0.061,-15.741,-43.654,37.449,-1418.7,54.968,22.3,-0.731,-37.407,1.823,-15.746,-122.012
87.014,19.279,4978.802,-63.406,-18.868,221.424,38.732,-72.98,-15.471,5.799,-43.07,38.416,-1404.234,46.114,19.152,-0.161,-41.447,-2.447,-16.157,-124.425
51.891,47.918,7926.64,-58.464,-6.246,-32.499,10.678,-57.064,14.415,-23.895,-49.607,15.644,-805.474,24.404,5.468,97.351,1.599,18.736,-4.502,-180.303
58.756,53.5,5440.526,-61.253,-19.274,144.17,55.344,-54.757,50.986,-8.661,-45.949,27.385,-1248.388,59.481,6.638,13.52,-1.5,18.537,-9.157,-139.949
151.569,155.401,5328.187,-61.353,-30.301,88.414,56.434,-33.673,73.873,30.384,-46.218,62.488,-1106.732,44.961,23.994,-21.579,11.56,-11.51,-12.676,-147.317
192.424,19.066,5308.872,-1.197,-12.101,56.766,49.214,-30.084,35.439,-6.306,-33.923,30.663,-937.159,34.852,10.03,-8.376,-12.523,10.635,-12.808,-143.224
-469.147,98.934,10128.949,-181.241,-7.225,-40.51,82.096,-83.641,137.05,74.659,-63.403,5.37,-693.293,-34.225,25.643,120.721,16.835,16.993,-11.557,-173.315
-560.157,91.642,9673.239,-161.144,-11.06,-38.841,90.889,-89.405,131.139,-18.747,-62.634,3.642,-724.811,-2.975,30.808,114.759,1.356,21.036,-13.094,-129.291
-41.239,-53.902,8439.592,-121.561,0.823,-91.63,34.81,-70.168,29.52,-18.088,-58.221,13.555,-853.108,68.919,17.168,-4.726,-20.612,-12.757,0.357,-153.591
101.552,31.312,4079.714,-11.935,-24.681,501.965,8.128,-45,-46.837,-80.355,-59.469,25.431,-779.943,58.991,21.043,-65.193,-66.221,25.133,-15.199,-129.255
-120.519,-18.333,7119.366,-284.447,-4.936,-88.017,50.162,-65.828,100.069,138.824,-52.604,8.585,-780.601,71.927,15.277,33.181,-5.971,12.209,-1.2,-143.087
78.737,-34.78,6657.766,-180.091,-16.122,155.595,-0.653,-59.428,10.323,6.847,-78.64,13.067,-589.385,99.26,10.977,27.516,-18.036,15.371,-17.184,-144.906
-159.653,62.613,2302.755,-162.463,-17.599,-75.954,21.642,-76.741,-51.446,140.546,-40.938,17.6,-812.104,-35.515,-37.482,28.504,-1.086,5.77,-10.019,-133.252
-141.463,49.274,2627.727,-102.881,-18.659,-124.182,23.445,-73.145,-46.143,155.139,-45.495,14.005,-949.027,-45.694,-26.123,46.479,-22.037,-8.235,-11.617,-133.331
154.33,-5.76,5498.225,-168.478,-17.676,266.563,31.798,-34.097,61.91,-70.758,-71.965,25.177,-1045.577,42.521,6.87,-11.403,-17.056,4.559,-6.158,-148.178
306.198,-24.322,3194.042,-40.319,-0.746,-226.171,-40.11,-29.113,-58.6,-52.536,-18.432,-6.423,-862.528,74.866,-12.099,16.811,-35.853,4.352,-2.304,-129.351
-172.336,-23.954,7232.272,-247.787,-0.177,-146.552,16.063,-67.926,136.996,77.857,-54.15,5.467,-879.356,63.727,14.83,19.336,-2.08,15.427,-2.939,-162.282
194.618,-59.988,3660.953,-43.608,-20.785,194.748,18.807,-34.389,-5.187,-34.547,-46.619,9.366,-505.7,46.883,-10.185,27.288,-31.561,15.216,-13.271,-72.067
258.649,-123.111,4042.996,-27.069,-17.753,36.287,-43.509,-58.987,-35.464,-57.928,-77.939,9.683,-846.493,186.099,22.129,-71.4,-46.826,48.396,-21.881,-80.164
-224.018,12.664,8151.59,-230.959,2.484,-220.1,12.398,-21.501,57.294,86.655,-65.697,2.232,-884.191,29.209,16.94,8.521,-21.222,21.586,2.692,-196.516
-101.475,-6.472,5922.519,-280.699,-14.247,32.789,29.566,-46.867,103.94,280.576,-60.365,12.945,-923.337,66.611,5.666,34.559,6.073,17.456,-2.499,-167.784
58.832,22.486,6214.622,-68.531,-10.145,109.733,53.912,-48.268,30.728,41.811,-35.476,33.063,-931.463,85.419,10.884,-38.275,-6.471,15.043,-15.251,-107.219
248.9,-42.08,5904.166,-52.37,-19.513,170.585,-8.944,-69.019,-96.537,-125.695,-77.142,10.562,-668.157,125.069,13.584,9.984,-40.9,5.62,-17.202,-99.235
138.425,-23.219,6395.59,-95.978,-11.868,66.539,65.046,-70.122,35.479,71.852,-64.796,29.879,-1028.9,53.808,2.708,15.58,-9.051,12.98,-17.365,-121.139
-374.068,66.691,7516.88,-134.068,-8.994,-28.639,2.373,-80.497,-46.982,1.279,-60.725,15.366,-624.856,-54.041,6.763,122.288,-7.139,17.988,-9.25,-158.596
-121.912,45.062,6936.302,-240.978,-4.496,36.024,40.609,-56.291,110.37,148.153,-59.02,16.232,-1260.671,42.596,13.141,28.304,4.555,15.485,-2.837,-168.58
78.75,140.441,5719.905,-117.891,-25.937,104.096,79.402,11.352,65.767,27.951,-45.449,64.357,-1856.643,21.338,16.549,-29.442,4.042,-13.431,-6.657,-183.201
-84.785,-15.353,7967.74,-248.658,-8.055,-107.993,47.893,-67.418,99.445,151.686,-68.761,8.818,-661.855,80.408,12.447,37.754,3.153,8.491,-2.591,-148.22
-88.379,-29.107,8226.282,-247.021,-1.628,-153.265,43.83,-89.605,56.475,51.888,-66.758,5.576,-761.069,53.494,16.512,34.426,-13.175,12.481,-1.519,-132.942
-10.608,-23.517,7388.187,-260.258,-6.071,-80.767,39.958,-54.052,82.393,258.414,-49.248,11.016,-695.13,69.587,11.802,36.717,1.79,17.995,-5.669,-162.017
